,age,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,event
thyroid-5,0.022320096388315225,-0.12978597699212827,-0.05154444969615171,-0.04767227728310169,0.022912490425808455,-0.06009266817084423,0.14340075388807633,-0.10292394432771168,0.1781419760721252,-0.06009166364093428,1.0,0.09660985640817245,0.04286746039220679,0.03600069446431122,-0.013835115102674024,0.043368009225660545,-0.038929920476590336,0.024673478053226044,-0.056703564422551214,0.03673961149420011,-0.06610574033671797,0.06801117552777014,0.12584423842003042,0.045859602413100706,0.0888732551681534,0.12691036224014537,-0.00831471769028203,0.01454459338080635,-0.019569885551011985,-0.023346541879221895,0.10427817676678926,0.0006505477310295448
thyroid-6,-0.011259093033908376,0.06186616486783469,-0.008243961073590208,0.011233522341531141,0.02511869286893458,0.0029778317902978604,-0.12972400819804913,-0.021140946440334443,-0.09558554852454139,-0.03834900010045151,0.09660985640817245,1.0,0.298752968970534,0.09040500985267112,0.00341635155071254,-0.0999628463592147,-0.057688305118286425,0.08217811572234589,0.20312801848312656,-0.08863435320657839,-0.051640627621431505,-0.09105001558733082,-0.1475240006290596,-0.038135658570846796,-0.09589855085408698,-0.11925156084959301,-0.04712221260922045,0.2007178541130173,0.08187201749384487,0.0003536918152423579,0.03761416401006903,-0.005582205323802946
thyroid-7,0.029033394345326386,0.05023194811797923,0.08192856708783777,0.051990588542359766,0.04948979636275037,0.044743669933426225,-0.008281690699973525,0.03779712310984227,-0.015593905565637927,0.020286044561209943,0.04286746039220679,0.298752968970534,1.0,0.06885609779078751,0.06358612818901485,-0.06721181823713591,-0.036223131338896576,0.03148442113324345,0.06868467735805199,-0.05387078857720855,-0.016476930795605325,-0.01831129796574656,-0.04680449066901331,0.01231719549845473,-0.048225489156730895,-0.07460871167488281,0.037052085548147685,0.17225538167062557,0.0302653818559245,0.02374630130026034,0.02046448717858922,-0.007868324142230718
ana18-1,0.07936158268743287,-0.001061614543871268,0.03508568655225529,-0.05734306517740104,-0.003572633711909889,-0.06106820519082446,-0.0308779125877253,-0.030501474728831194,0.025068354625476724,0.07760969766644481,0.03600069446431125,0.09040500985267112,0.06885609779078748,1.0,0.06672505357151533,-0.08699460882556585,-0.02655687757472858,-0.026425495868691404,0.05331076026092439,-0.21199259765342493,-0.1286896223978955,-0.09521299558908304,0.05907391798983683,-0.06838365591682996,-0.06728196341271282,0.05753191454285533,-0.02632403357588337,0.3342496970323163,0.22442458803790544,0.05111123653917259,0.1250308635022092,0.07239268346612365
aqp4igg-1,-0.010710754554651342,0.06183157240286358,0.05250166762652703,0.006799436979333716,-0.017282751876208133,0.012224479246133986,0.009605862069393617,0.055715374671015644,0.04174293034991495,0.07926750204313862,-0.013835115102674024,0.003416351550712533,0.06358612818901485,0.06672505357151533,1.0,-0.016861673205435346,-0.020106479053190993,0.08196703941858142,0.10798173198548464,-0.0653671824872241,-0.048779989731837704,-0.017877344198854967,-0.03327516195562006,-0.007123279980388861,-0.03366419512631757,-0.011682631247582223,-0.02008779496631523,0.09486510302890046,0.05976697469023592,0.08863126661441484,0.012353134158666507,0.042115090398963606
vitd-1,0.09932293480911154,-0.05576912207093534,-0.10697778537379558,-0.04301300787305617,-0.022336722752074434,-0.045455684149958146,0.2105518396483992,-0.03035075877022816,0.19854774936402542,-0.0014351546187949872,0.04336800922566057,-0.0999628463592147,-0.06721181823713596,-0.08699460882556584,-0.01686167320543533,1.0,0.12103382952503326,-0.10519246514112442,-0.11118491851245058,0.0438121812030463,0.07778254445414881,-0.026445326641287677,0.008913317088238792,-0.01688984221267285,-0.043726084567451945,-0.03101732498141867,0.03713922294524912,-0.0722150271581094,-0.07598785960615019,-0.11527784954956107,-0.07007573371933802,0.004689133632833595
vitd-2,-0.037563740861715086,-0.025497086383379303,-0.09613203081131819,-0.006737313089568853,-0.003436678869183383,0.0006867888284806594,0.12006523611382892,-0.0072315674432620715,0.16542406107047103,0.10285825565164411,-0.038929920476590336,-0.057688305118286425,-0.036223131338896555,-0.026556877574728622,-0.020106479053190993,0.12103382952503333,1.0,-0.06840754695743019,-0.030673581275717086,0.04182648724797228,0.07143761741262694,-0.0515603399659362,-0.044592916150266115,-0.034341665566817454,-0.06559529475440362,-0.04446572288064016,-0.016735711203619646,0.04792066880243117,0.0004398795871025846,0.004953116309882276,-0.07756262089568063,0.014397031326063101
t_b-1,-0.12686482641821265,0.22021327909043645,0.08330291624473914,0.1884770371450698,0.23451493325416944,0.12568014327165372,-0.07847546134940991,0.22322777274834776,-0.23763348152817546,-0.035586570605914664,0.024673478053226023,0.08217811572234589,0.03148442113324344,-0.026425495868691397,0.08196703941858142,-0.10519246514112443,-0.06840754695743022,1.0,0.7538490354704389,0.04775171458579111,-0.2516454621823192,0.562614527812658,-0.2915533495418697,0.6013586929703821,0.351393548166733,-0.3021654903543589,0.07212541315584409,-0.040304237631866795,0.088765350682972,0.07083494255375826,-0.026007779440672726,0.007925907969516609
t_b-2,-0.0700281616407263,0.2803806257939611,0.09308968917946008,0.09453873383717225,0.03368996196327512,0.0815318103974854,-0.2576388295881151,0.16134826973719532,-0.36025604320853577,-0.018013362609049514,-0.05670356442255122,0.2031280184831265,0.06868467735805199,0.05331076026092442,0.10798173198548464,-0.11118491851245058,-0.030673581275717073,0.7538490354704389,1.0,-0.17671960152846333,-0.2543435362730909,0.06451003957702425,-0.47843551258560996,0.15267321197900854,-0.06672667282203555,-0.36547592581047056,-0.04139103328246321,0.07571249602044848,0.09386259191750856,0.0815891072761037,-0.03221363926484145,0.014472471336775048
t_b-3,0.0798197984118271,-0.057148476782942256,-0.06870562068078134,0.08644817285650035,0.17716870496558615,0.04174790087104598,0.1383201484470355,0.039262631180400694,0.15237614401770955,0.0539251753095637,0.0367396114942001,-0.08863435320657838,-0.05387078857720855,-0.21199259765342485,-0.06536718248722412,0.043812181203046294,0.04182648724797228,0.04775171458579111,-0.17671960152846328,1.0,0.7988355419717434,0.17604252018682848,-0.5678344334114972,0.12941350820219827,0.1772766178139101,-0.22136105522206742,-0.29048980662022095,-0.07700620477957128,0.011080173390556941,-0.009099658010883138,0.03529416573160664,-0.022752825205813752
