,0
t_b-2,5
t_b-1,5
blood-3,5
thyroid-6,5
edss-1,4
ig3-2,4
aqp4igg-1,4
thyroid-7,4
thyroid-2,4
t_b-7,4
blood-2,4
blood-1,3
ig3-1,3
ig3-3,3
ana18-1,3
