,0
t_b-1,1.1500063473545226
t_b-2,0.9615758078114517
blood-1,0.6946254522182197
t_b-5,0.6632280357396368
t_b-7,0.6623538477315544
aqp4igg-1,0.6125040167006043
blood-3,0.6066635532817193
t_b-6,0.5649889321017735
t_b-8,0.557044278911619
t_b-4,0.5349346675052179
ig3-3,0.48354808343348665
t_b-9,0.4808944370501253
vitd-1,0.4674311297861344
blood-2,0.46698300898567124
vitd-2,0.4584281916587684
t_b-10,0.4493612365028425
il_6-1,0.43366203899011374
ig3-1,0.42956712940466163
ig3-2,0.4190210258042044
t_b-3,0.4153469323981258
edss-1,0.06068329057293415
