,0
t_b-1,4
t_b-2,4
t_b-5,4
t_b-7,4
t_b-4,4
t_b-8,4
vitd-1,4
vitd-2,4
blood-1,3
blood-3,3
aqp4igg-1,3
blood-2,3
il_6-1,3
t_b-6,3
ig3-3,3
